,Title,Author,Format-Year
0,Real-World Spanish: The Conversation Learning System,Camila Vega Rivera,eAudiobook - 2025
1,Learning Spanish-beginner I,"Iris Acevedo A.; Spanishonline, Costarica",eBook - 2025 | Spanish
2,100 Facts About Learning Spanish,Science-Based Language Learning Lab,eBook - 2024
3,The Ultimate Learning Spanish Blueprint - 10 Essential Steps,"Ramirez, Andres",eBook - 2024
4,100 Facts About Learning Spanish,Science-Based Language Learning Lab,eAudiobook - 2024
5,A Beginner's Guide to Learning Spanish,"Miller, Jackson",eAudiobook - 2024
6,No Tears Spanish Grammar: Easy Learning: Essential Rules for Beginners,"Bennett, Olivia",eBook - 2024
7,Guess What Baby J Is Learning? 123's Spanish,"Sharif, Mboya",eBook - 2023 | Spanish
8,Learning Spanish for Adults Beginner,"World, Spain",eBook - 2023
9,Learning to Read in English and Spanish Made Easy,"Navarijo, Susie G.",eBook - 2022
10,Spanish for Beginners: A Comprehensive Guide for Learning the Spanish Language Fast,Language Equipped Travelers,eBook - 2021
11,Learn Spanish Like a Native for Beginners - Level 2: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,eBook - 2021
12,Learn Spanish Like a Native for Beginners - Level 1: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,eBook - 2021
13,"Spanish: Beginner's Step by Step Course to Quickly Learning the Spanish Language, Spanish Grammar &","Michaels, Steven J.",eBook - 2021
14,I'm Learning Spanish,"Gardner, James M.",eAudiobook - 2020 | Chinese
15,I am learning Spanish,"Gardner, James M.",eAudiobook - 2018
16,The Best Spanish Learning Games for Children,"Professor, Baby",eBook - 2017
17,Easy Learning Spanish Vocabulary,"Dictionaries, Collins",eBook - 2016 | Spanish
18,Easy Learning Spanish Grammar: Trusted support for learning,Various Authors,eBook - 2016
19,Easy Learning Spanish Verbs,Various Authors,eBook - 2016
20,Spanish Easy Learning Complete Course,"Carmen García del Río; Fitzsimons, Ronan",eAudiobook - 2016
21,Easy Learning Spanish Conversation,Various Authors,eBook - 2015 | Spanish
22,Learning the Local Language: Your Guide to Real World Spanish,"Romey, Jared",eBook - 2013
23,Easy Learning Spanish Idioms,"Dictionaries, Collins",eBook - 2011
24,Advanced Work with Commands,no author,Streaming Video - 2017
25,The Conditional Tense,no author,Streaming Video - 2017
26,Past Participles as Adjectives and Nouns,no author,Streaming Video - 2017
27,Using Se to Talk about Unplanned Events,no author,Streaming Video - 2017
28,The Future Tense,no author,Streaming Video - 2017
29,Expressing Influence with the Subjunctive,no author,Streaming Video - 2017
30,Relative Adverbs and Relative Pronouns,no author,Streaming Video - 2017
31,Uses of the Infinitive,no author,Streaming Video - 2017
32,Advanced Work with the Preterite Tense,no author,Streaming Video - 2017
33,Expressing Emotion with the Subjunctive,no author,Streaming Video - 2017
34,Expressing Doubt with the Subjunctive,no author,Streaming Video - 2017
35,Health and Well-Being in Spanish,no author,Streaming Video - 2017
36,Mastering the Uses of Estar and Ser,no author,Streaming Video - 2017
37,Cognates and False Cognates,no author,Streaming Video - 2017
38,Mastering Direct and Double Object Pronouns,no author,Streaming Video - 2017
39,How to Expand Your Spanish Vocabulary,no author,Streaming Video - 2017
40,How to Use Para and Por,no author,Streaming Video - 2017
41,Introduction to the Imperfect Tense,no author,Streaming Video - 2017
42,Essentials for Success with Spanish,no author,Streaming Video - 2017
43,The Present Perfect Tense,no author,Streaming Video - 2017
44,Next Steps toward Spanish Fluency,no author,Streaming Video - 2017
45,Advanced Work with Adverbs and Adjectives,no author,Streaming Video - 2017
46,Introduction to the Subjunctive Mood,no author,Streaming Video - 2017
47,The Present Tense and Prepositions,no author,Streaming Video - 2017
48,When to Use the Imperfect and the Preterite,no author,Streaming Video - 2017
49,Indirect Objects and Verbs like Gustar,no author,Streaming Video - 2017
50,Expressing Possession in Spanish,no author,Streaming Video - 2017
51,Mastering the Imperfect and the Preterite,no author,Streaming Video - 2017
52,Spanish Pronunciation and Reciprocal Verbs,no author,Streaming Video - 2017
53,The Evolution of the Spanish Language,no author,Streaming Video - 2017
54,Indefinite Articles and Numbers to 100,no author,Streaming Video - 2015
55,Talking about the Past: ¿Desde Cuándo…?,no author,Streaming Video - 2015
56,Expressions Using the Verb Tener,no author,Streaming Video - 2015
57,Regular -er and -ir Verbs in the Preterite,no author,Streaming Video - 2015
58,"Ver, Dar, and Other Irregular Verbs",no author,Streaming Video - 2015
59,Formal Commands and Unequal Comparisons,no author,Streaming Video - 2015
60,The Verbs Saber and Conocer,no author,Streaming Video - 2015
61,The Present Progressive,no author,Streaming Video - 2015
62,The Verb Ir in the Present,no author,Streaming Video - 2015
63,Informal Commands,no author,Streaming Video - 2015
64,Superlatives and Equal Comparisons,no author,Streaming Video - 2015
65,Introduction to the Spanish Language,no author,Streaming Video - 2015
66,Indirect Object Pronouns,no author,Streaming Video - 2015
67,Double Object Pronouns,no author,Streaming Video - 2015
68,Subject Pronouns and the Verb Ser,no author,Streaming Video - 2015
69,Definite Articles and Nouns,no author,Streaming Video - 2015
70,Regular -er and -ir Verbs in the Present,no author,Streaming Video - 2015
71,Next Steps in Improving Your Spanish,no author,Streaming Video - 2015
72,Verbs like Hacer and Interrogative Words,no author,Streaming Video - 2015
73,"Affirmatives, Negatives, and Demonstratives",no author,Streaming Video - 2015
74,Direct Object Pronouns and Adverbs,no author,Streaming Video - 2015
75,Reflexive Verbs,no author,Streaming Video - 2015
76,Stem-Changing Verbs,no author,Streaming Video - 2015
77,Expressing Time in Spanish,no author,Streaming Video - 2015
78,More Affirmative and Negative Expressions,no author,Streaming Video - 2015
79,Regular -ar Verbs in the Preterite,no author,Streaming Video - 2015
80,Irregular Verbs in the Preterite,no author,Streaming Video - 2015
81,Regular -ar Verbs in the Present,no author,Streaming Video - 2015
82,Talking about the Past: Acabar and Hace,no author,Streaming Video - 2015
83,The Verb Estar and Numbers over 100,no author,Streaming Video - 2015
84,Learn Spanish For Beginners,Language Library,eBook - 2021
85,Learn Spanish For Beginners In Your Car,Language Library,eBook - 2021
86,Learn Intermediate Spanish In 30 Days,Language Library,eBook - 2021
87,Traveling in Spanish,"Gardner, James M.",eAudiobook - 2020 | Chinese
88,"Learn Latin American Spanish for Beginners, Volume 1","Academy, Language",eAudiobook - 2020
89,Learn Spanish,"Alfaro, Adrian",eBook - 2020
90,Diversión en serio: Cómo el juego guiado amplía el aprendizaje de los niños,"Masterson, Marie L.",eBook - 2019 | Spanish
91,Learning Agility,"Hallenbeck, George",eBook - 2018 | Spanish
92,Real Spanish 102,"Frobose, Mark",eAudiobook - 2015
93,Spanish Basics Intermediate Level,"Frobose, Mark",eAudiobook - 2015
94,Real Spanish 101,"Frobose, Mark",eAudiobook - 2015
95,Spanish Basics for Beginners,"Frobose, Mark",eAudiobook - 2015
96,Cuando tu hijo tiene dificultades de aprendizaje,"Fisher, Gary L.",Book - 2004 | Spanish
97,Muse of Fire,no author,Streaming Video - 2015
98,Kids Learn Spanish Songs,Nashville Kids Sound (Musical group),Streaming Music - 2006 | Spanish
99,Spanish,Nashville Kids Sound (Musical group),Streaming Music - 1994 | Spanish
100,Learning to Drive,no author,DVD - 2016
101,Higher Learning,no author,DVD - 2001
102,Aprendiendo a quererte (Learning to Love You),"Westwood, Jana",eAudiobook - 2024 | Spanish
103,Aprender a ser padres (Learning to Become Parents),María Del Carmen Míguez,eAudiobook - 2022 | Spanish
104,Educación a distancia (Distance Learning),"Murray, Julie",eBook - 2020 | Spanish
105,Introducción al Machine Learning con MATLAB,Erik Cuevas Jiménez,eBook - 2021 | Spanish
106,Libro blanco del e-learning,Various Authors,eBook - 2020 | Spanish
107,Aprende sobre los tiburones (Learning about Sharks),"Otterman, Joseph",eBook - 2020 | Spanish
108,Python Deep Learning,"Torres, Jordi",eBook - 2020 | Spanish
